Crop,Crop_matched,Target_mode,Soil_N_ppm,Soil_P_ppm,Soil_K_ppm,Target_N,Target_P,Target_K,Required_N,Required_P,Required_K,Complete_kg_ha,Urea_kg_ha,Compost_kg_ha,N_from_Complete,P_from_Complete,K_from_Complete,N_from_Urea,Total_N_supplied,Total_P_supplied,Total_K_supplied
Carrot,Carrot,H,70.43,29.47,31.92,71.8,30.8,30.4,1.4,1.3,1.04,9.3,0.2,0.3,1.3,1.3,1.3,0.09,1.4,1.3,1.3
Chayote,Chayote,H,46.75,19.03,32.63,40.2,20.3,31.0,2.56,1.3,9.88,9.3,5.87,1.04,1.3,1.3,1.3,9.0,1.3,1.3,1.3
Carrot,Carrot,M,81.8,27.65,26.29,76.7,57.3,76.9,1.78,29.6,50.6,361.4,9.27,5.41,50.6,50.6,50.6,6.0,50.6,50.6,50.6
Patola,Patola,H,34.89,23.1,29.09,31.4,20.7,29.4,7.03,4.44,0.3,2.1,2.79,8.0,0.29,0.29,0.29,4.0,0.32,0.3,0.3
Patola,Patola,H,32.91,18.12,35.0,31.3,19.3,28.7,2.77,1.2,2.2,8.6,5.77,9.61,1.2,1.2,1.2,6.0,1.2,1.2,1.2
Chayote,Chayote,L,40.2,23.91,30.16,59.9,81.3,62.3,19.7,57.4,32.1,410.0,9.3,3.75,57.4,57.4,57.4,3.0,57.4,57.4,57.4
Chayote,Chayote,L,44.48,20.71,28.59,58.5,83.8,62.7,14.0,63.1,34.1,450.7,3.14,5.98,63.1,63.1,63.1,9.0,63.1,63.1,63.1
Chili Pepper,Chili Pepper,M,27.5,27.13,68.22,57.6,49.2,117.8,30.1,22.1,49.6,354.3,9.78,4.22,49.6,49.6,49.6,4.0,49.6,49.6,49.6
String Bean,String Bean,L,38.1,18.58,29.59,48.5,90.2,50.0,10.4,71.6,20.4,511.4,1.78,5.75,71.6,71.6,71.6,2.0,71.6,71.6,71.6
Eggplant,Eggplant,M,73.51,19.11,31.21,78.8,51.6,62.7,5.3,32.5,31.5,232.1,5.6,7.0,32.49,32.49,32.49,10.0,32.52,32.5,32.5
String Bean,String Bean,M,34.8,22.9,26.7,38.4,46.0,40.7,3.6,23.1,14.0,165.0,7.66,6.69,23.1,23.1,23.1,4.0,23.1,23.1,23.1
String Bean,String Bean,H,40.84,22.3,32.2,36.6,19.2,31.5,7.48,7.18,3.72,4.58,3.66,7.56,2.0,6.0,9.0,10.0,10.0,2.0,5.0
Okra,Okra,H,85.95,26.79,26.61,79.9,19.0,28.7,9.52,8.21,2.1,15.0,5.0,4.41,2.1,2.1,2.1,9.0,2.1,2.1,2.1
Carrot,Carrot,L,74.98,32.05,31.38,91.5,87.7,118.8,16.5,55.6,87.4,624.3,6.74,4.88,87.4,87.4,87.4,10.0,87.4,87.4,87.4
Eggplant,Eggplant,M,71.66,18.6,31.05,82.4,47.6,57.5,10.7,29.0,26.4,207.1,3.73,8.0,28.99,28.99,28.99,9.0,29.02,29.0,29.0
Chili Pepper,Chili Pepper,M,28.77,33.28,58.37,57.8,49.1,121.3,29.0,15.8,62.9,449.3,1.11,8.96,62.9,62.9,62.9,6.0,62.9,62.9,62.9
Tomato,Tomato,L,89.08,30.61,31.35,90.5,117.7,87.3,1.4,87.1,56.0,622.1,1.86,4.0,87.09,87.09,87.09,1.0,87.12,87.1,87.1
Patola,Patola,L,27.05,18.51,31.81,94.3,79.0,59.8,67.2,60.5,28.0,432.1,14.6,3.0,60.49,60.49,60.49,6.72,67.24,60.5,60.5
Eggplant,Eggplant,L,66.84,21.25,32.46,85.7,83.0,90.0,18.9,61.8,57.5,441.4,5.01,7.51,61.8,61.8,61.8,1.0,61.8,61.8,61.8
Ampalaya,Ampalaya,H,39.85,15.27,29.79,38.4,20.6,31.0,7.82,5.3,1.2,37.9,2.09,4.38,5.31,5.31,5.31,8.0,5.31,5.31,5.31
Okra,Okra,H,65.83,22.07,32.21,76.7,19.2,30.0,10.9,3.01,8.07,4.8,23.7,1.52,6.0,6.0,5.0,10.9,10.9,7.0,1.0
Chili Pepper,Chili Pepper,H,35.7,33.79,57.82,31.0,28.8,62.2,2.25,4.4,4.4,31.4,2.76,9.23,4.4,4.4,4.4,9.0,4.4,4.4,4.4
Tomato,Tomato,H,55.83,26.7,35.17,67.7,29.0,31.1,11.9,2.3,9.55,16.4,20.9,2.18,2.3,2.3,2.3,9.61,11.91,2.3,2.3
Chili Pepper,Chili Pepper,H,32.67,30.14,75.43,29.2,31.1,61.4,5.05,5.0,1.22,7.1,3.76,1.0,0.99,0.99,0.99,1.0,1.02,8.0,10.0
Chili Pepper,Chili Pepper,M,30.73,31.57,58.02,61.8,49.2,123.3,31.1,17.6,65.3,466.4,3.72,3.15,65.3,65.3,65.3,2.0,65.3,65.3,65.3
Tomato,Tomato,M,56.89,27.42,29.88,81.0,73.4,61.0,24.1,46.0,31.1,328.6,3.5,4.67,46.0,46.0,46.0,6.0,46.0,46.0,46.0
Carrot,Carrot,H,81.35,34.05,27.68,72.3,31.4,30.9,6.49,5.87,3.2,22.9,1.37,2.42,3.21,3.21,3.21,1.0,3.21,3.21,3.21
Eggplant,Eggplant,M,63.25,19.84,31.52,81.2,48.5,59.5,18.0,28.7,28.0,205.0,5.66,9.49,28.7,28.7,28.7,4.0,28.7,28.7,28.7
Chili Pepper,Chili Pepper,M,28.54,31.74,62.07,62.7,48.0,121.6,34.2,16.3,59.5,425.0,3.82,1.87,59.5,59.5,59.5,1.0,59.5,59.5,59.5
Eggplant,Eggplant,L,76.99,22.47,27.15,92.0,78.1,87.4,15.0,55.6,60.3,430.7,2.9,7.33,60.3,60.3,60.3,7.0,60.3,60.3,60.3
Okra,Okra,L,95.61,19.26,30.06,91.3,78.3,93.2,1.63,59.0,63.1,450.7,9.5,1.86,63.1,63.1,63.1,3.0,63.1,63.1,63.1
Carrot,Carrot,M,83.79,30.12,28.69,83.8,57.9,78.1,6.58,27.8,49.4,352.9,1.34,5.08,49.41,49.41,49.41,5.0,49.41,49.41,49.41
Cabbage,Cabbage,H,104.22,28.97,20.04,122.8,20.4,28.8,18.6,3.23,8.8,62.9,21.3,5.21,8.81,8.81,8.81,9.8,18.61,8.81,8.81
Cabbage,Cabbage,L,126.39,31.74,20.63,150.1,58.1,60.3,23.7,26.4,39.7,283.6,7.2,7.76,39.7,39.7,39.7,1.0,39.7,39.7,39.7
Okra,Okra,L,85.59,18.03,30.11,88.8,76.6,89.6,3.2,58.6,59.5,425.0,9.78,6.59,59.5,59.5,59.5,10.0,59.5,59.5,59.5
Okra,Okra,H,74.52,16.74,36.34,81.7,21.0,31.1,7.2,4.3,6.89,30.7,6.3,3.3,4.3,4.3,4.3,2.9,7.2,4.3,4.3
Chayote,Chayote,M,37.14,23.29,28.95,50.3,49.9,46.5,13.2,26.6,17.6,190.0,9.65,2.82,26.6,26.6,26.6,4.0,26.6,26.6,26.6
Chili Pepper,Chili Pepper,L,25.02,28.15,54.62,90.6,78.6,153.8,65.6,50.4,99.2,708.6,2.03,7.75,99.2,99.2,99.2,6.0,99.2,99.2,99.2
Okra,Okra,M,91.09,22.75,27.15,83.6,48.1,57.6,3.44,25.4,30.4,217.1,4.94,8.0,30.39,30.39,30.39,9.0,30.42,30.4,30.4
Chili Pepper,Chili Pepper,L,35.21,28.51,49.07,92.4,83.2,154.8,57.2,54.7,105.7,755.0,6.89,6.67,105.7,105.7,105.7,7.0,105.7,105.7,105.7
Carrot,Carrot,M,78.39,32.06,26.81,77.0,57.5,75.4,1.22,25.4,48.6,347.1,7.27,6.0,48.59,48.59,48.59,2.0,48.62,48.6,48.6
Chili Pepper,Chili Pepper,M,29.53,27.04,59.61,60.6,48.5,120.7,31.1,21.5,61.1,436.4,4.8,3.71,61.1,61.1,61.1,10.0,61.1,61.1,61.1
Tomato,Tomato,M,80.21,33.38,30.07,78.6,73.9,60.5,7.12,40.5,30.4,289.3,3.72,7.88,40.5,40.5,40.5,7.0,40.5,40.5,40.5
Carrot,Carrot,M,71.82,28.6,28.21,77.9,59.3,73.6,6.1,30.7,45.4,324.3,8.65,4.15,45.4,45.4,45.4,9.0,45.4,45.4,45.4
Carrot,Carrot,M,60.68,32.3,31.03,77.4,59.0,77.8,16.7,26.7,46.8,334.3,1.79,2.1,46.8,46.8,46.8,9.0,46.8,46.8,46.8
Cabbage,Cabbage,H,115.42,28.84,21.1,118.5,20.0,31.1,3.1,2.84,10.0,71.4,9.13,1.55,10.0,10.0,10.0,6.0,10.0,10.0,10.0
Okra,Okra,H,79.96,21.18,26.54,77.8,20.1,29.2,9.99,5.83,2.7,19.3,4.44,7.53,2.7,2.7,2.7,2.0,2.7,2.7,2.7
Patola,Patola,H,23.46,21.03,31.36,28.8,20.8,30.7,5.3,2.87,6.37,9.18,11.5,0.3,8.0,5.0,2.0,5.29,5.3,1.0,2.0
Cabbage,Cabbage,L,107.97,28.02,21.54,145.5,60.4,57.1,37.5,32.4,35.6,254.3,4.1,0.3,35.6,35.6,35.6,1.89,37.5,35.6,35.6
Carrot,Carrot,M,74.7,26.48,26.19,81.5,58.3,76.9,6.8,31.8,50.7,362.1,5.98,6.0,50.69,50.69,50.69,4.0,50.72,50.7,50.7
Chili Pepper,Chili Pepper,M,26.52,31.75,51.83,63.0,51.0,123.0,36.5,19.2,71.2,508.6,3.44,2.08,71.2,71.2,71.2,7.0,71.2,71.2,71.2
Eggplant,Eggplant,L,83.12,21.29,28.05,85.8,77.2,93.8,2.7,55.9,65.8,470.0,1.14,4.92,65.8,65.8,65.8,4.0,65.8,65.8,65.8
Ampalaya,Ampalaya,M,41.6,21.96,33.19,50.2,51.6,46.1,8.6,29.6,12.9,211.4,2.03,4.44,29.6,29.6,29.6,7.0,29.6,29.6,29.6
Tomato,Tomato,L,58.95,32.85,36.23,88.8,123.4,89.1,29.8,90.6,52.9,647.1,10.0,5.0,90.59,90.59,90.59,10.0,90.62,90.6,90.6
Chili Pepper,Chili Pepper,M,31.9,27.37,69.02,57.0,47.5,116.5,25.1,20.1,47.5,339.3,6.71,5.02,47.5,47.5,47.5,9.0,47.5,47.5,47.5
Chayote,Chayote,L,33.86,20.35,24.5,57.8,79.3,61.3,23.9,59.0,36.8,421.4,4.24,3.1,59.0,59.0,59.0,7.0,59.0,59.0,59.0
Chili Pepper,Chili Pepper,M,30.02,24.61,64.44,59.8,50.3,115.8,29.8,25.7,51.4,367.1,6.45,7.0,51.39,51.39,51.39,10.0,51.42,51.4,51.4
Ampalaya,Ampalaya,M,45.64,18.01,33.64,51.7,48.6,44.4,6.1,30.6,10.8,218.6,2.1,3.54,30.6,30.6,30.6,6.0,30.6,30.6,30.6
Okra,Okra,H,85.58,17.27,26.13,83.4,20.8,29.5,7.04,3.5,3.4,25.0,8.67,5.05,3.5,3.5,3.5,7.0,3.5,3.5,3.5
Eggplant,Eggplant,M,64.65,19.33,26.76,78.6,49.2,62.2,13.9,29.9,35.4,252.9,1.96,8.62,35.41,35.41,35.41,2.0,35.41,35.41,35.41
Chayote,Chayote,L,41.5,21.97,27.37,61.1,83.4,58.0,19.6,61.4,30.6,438.6,5.84,4.82,61.4,61.4,61.4,2.0,61.4,61.4,61.4
Tomato,Tomato,M,85.5,29.04,28.6,79.5,77.8,57.5,9.57,48.8,28.9,348.6,9.1,8.46,48.8,48.8,48.8,9.0,48.8,48.8,48.8
Cabbage,Cabbage,H,113.75,29.64,20.19,125.4,20.9,29.5,11.7,8.14,9.3,66.4,5.2,0.3,9.3,9.3,9.3,2.39,11.7,9.3,9.3
Ampalaya,Ampalaya,M,37.69,18.1,33.58,50.2,50.6,43.3,12.5,32.5,9.7,232.1,8.07,10.0,32.49,32.49,32.49,1.0,32.52,32.5,32.5
Ampalaya,Ampalaya,H,47.98,24.31,24.67,39.2,20.3,28.9,2.32,6.09,4.2,30.0,8.56,1.79,4.2,4.2,4.2,3.0,4.2,4.2,4.2
Patola,Patola,H,27.67,17.26,30.9,31.2,20.2,28.7,3.5,2.9,6.22,20.7,1.3,1.3,2.9,2.9,2.9,0.6,3.5,2.9,2.9
Carrot,Carrot,M,67.18,29.0,30.07,83.3,61.1,77.0,16.1,32.1,46.9,335.0,1.67,2.49,46.9,46.9,46.9,8.0,46.9,46.9,46.9
Ampalaya,Ampalaya,L,44.59,19.34,31.4,87.7,80.7,58.8,43.1,61.4,27.4,438.6,2.21,4.53,61.4,61.4,61.4,8.0,61.4,61.4,61.4
Ampalaya,Ampalaya,L,33.71,22.8,32.47,93.2,81.8,57.2,59.5,59.0,24.7,421.4,1.1,3.51,59.0,59.0,59.0,0.51,59.51,59.0,59.0
Patola,Patola,M,30.95,19.98,28.3,62.6,49.0,44.2,31.6,29.0,15.9,207.1,5.7,10.0,28.99,28.99,28.99,2.62,31.64,29.0,29.0
Tomato,Tomato,M,70.89,28.56,24.71,80.7,73.3,58.4,9.8,44.7,33.7,319.3,6.49,8.97,44.7,44.7,44.7,5.0,44.7,44.7,44.7
Eggplant,Eggplant,H,61.83,18.65,27.17,73.4,20.6,31.5,11.6,2.0,4.3,30.7,15.9,7.47,4.3,4.3,4.3,7.31,11.61,4.3,4.3
Eggplant,Eggplant,M,55.86,17.94,26.91,83.5,49.7,62.3,27.6,31.8,35.4,252.9,4.72,7.24,35.41,35.41,35.41,4.0,35.41,35.41,35.41
String Bean,String Bean,H,35.5,19.85,24.36,33.5,20.8,30.0,1.07,0.9,5.6,40.0,2.29,9.04,5.6,5.6,5.6,4.0,5.6,5.6,5.6
Ampalaya,Ampalaya,M,36.36,19.84,36.02,50.8,49.0,45.5,14.4,29.2,9.5,208.6,3.09,3.35,29.2,29.2,29.2,4.0,29.2,29.2,29.2
Patola,Patola,L,30.85,20.65,35.97,88.9,82.9,59.2,58.0,62.3,23.2,445.0,8.36,2.41,62.3,62.3,62.3,10.0,62.3,62.3,62.3
Chayote,Chayote,L,39.29,20.39,31.12,61.4,78.1,62.1,22.1,57.7,31.0,412.1,2.04,10.0,57.69,57.69,57.69,10.0,57.72,57.7,57.7
Cabbage,Cabbage,M,145.11,25.06,22.14,137.2,35.3,44.2,2.48,10.2,22.1,157.9,3.6,5.85,22.11,22.11,22.11,4.0,22.11,22.11,22.11
Chili Pepper,Chili Pepper,H,33.59,32.06,58.82,28.7,30.3,61.4,5.45,7.95,2.6,18.6,1.74,1.86,2.6,2.6,2.6,4.0,2.6,2.6,2.6
Eggplant,Eggplant,H,82.43,19.17,31.02,69.7,20.0,30.6,7.15,0.8,1.94,5.7,9.57,4.66,0.8,0.8,0.8,3.0,0.8,0.8,0.8
Tomato,Tomato,M,79.35,33.92,25.25,82.0,73.0,57.7,2.7,39.1,32.4,279.3,1.75,9.85,39.1,39.1,39.1,5.0,39.1,39.1,39.1
Cabbage,Cabbage,H,140.38,29.11,21.03,124.7,19.6,29.8,2.64,5.63,8.8,62.9,5.59,5.26,8.81,8.81,8.81,7.0,8.81,8.81,8.81
Chayote,Chayote,M,39.01,23.66,26.67,51.5,48.0,43.9,12.5,24.3,17.2,173.6,4.85,3.44,24.3,24.3,24.3,8.0,24.3,24.3,24.3
Chayote,Chayote,L,38.83,21.62,34.29,61.9,77.8,62.2,23.1,56.2,27.9,401.4,1.11,2.22,56.2,56.2,56.2,1.0,56.2,56.2,56.2
Tomato,Tomato,L,75.32,29.75,25.3,92.3,120.2,93.9,17.0,90.4,68.6,645.7,2.47,7.05,90.4,90.4,90.4,4.0,90.4,90.4,90.4
Chayote,Chayote,H,48.23,17.56,29.44,39.5,19.7,31.2,6.5,2.1,1.8,15.0,2.57,6.73,2.1,2.1,2.1,10.0,2.1,2.1,2.1
Eggplant,Eggplant,L,68.79,24.2,33.58,88.4,83.9,91.3,19.6,59.7,57.7,426.4,3.63,5.01,59.7,59.7,59.7,1.0,59.7,59.7,59.7
Cabbage,Cabbage,M,130.05,29.24,21.68,141.8,34.6,45.3,11.8,5.4,23.6,168.6,7.16,1.27,23.6,23.6,23.6,1.0,23.6,23.6,23.6
Patola,Patola,M,28.76,19.01,30.46,59.6,51.7,47.1,30.8,32.7,16.6,233.6,3.44,1.18,32.7,32.7,32.7,9.0,32.7,32.7,32.7
Cabbage,Cabbage,H,114.68,31.08,19.65,118.2,20.1,29.2,3.5,3.75,9.6,68.6,3.17,3.56,9.6,9.6,9.6,1.0,9.6,9.6,9.6
String Bean,String Bean,H,39.39,17.02,24.95,34.9,20.6,29.5,5.08,3.6,4.6,32.9,7.64,7.73,4.61,4.61,4.61,6.0,4.61,4.61,4.61
Patola,Patola,L,35.71,18.77,30.34,91.5,78.4,58.6,55.8,59.6,28.3,425.7,4.19,2.09,59.6,59.6,59.6,2.0,59.6,59.6,59.6
String Bean,String Bean,H,32.17,20.92,29.54,35.0,19.9,28.5,2.8,7.88,1.54,5.39,6.1,3.63,8.0,8.0,9.0,2.81,2.81,1.0,10.0
Okra,Okra,H,79.29,19.07,30.21,80.1,20.5,30.9,0.8,1.4,0.7,10.0,6.05,2.6,1.4,1.4,1.4,7.0,1.4,1.4,1.4
Tomato,Tomato,M,60.06,30.72,31.7,77.6,77.7,58.9,17.5,47.0,27.2,335.7,2.62,9.04,47.0,47.0,47.0,3.0,47.0,47.0,47.0
Cabbage,Cabbage,L,120.09,34.17,21.78,142.5,63.0,58.9,22.4,28.8,37.1,265.0,3.26,2.13,37.1,37.1,37.1,5.0,37.1,37.1,37.1
String Bean,String Bean,M,34.59,18.38,34.39,41.1,45.3,38.2,6.5,26.9,3.8,192.1,4.66,3.0,26.89,26.89,26.89,4.0,26.92,26.9,26.9
Patola,Patola,M,33.94,23.11,33.44,59.2,50.6,44.6,25.3,27.5,11.2,196.4,7.08,3.78,27.5,27.5,27.5,10.0,27.5,27.5,27.5
Tomato,Tomato,L,61.47,25.22,32.3,94.1,115.2,93.2,32.6,90.0,60.9,642.9,6.78,2.11,90.01,90.01,90.01,10.0,90.01,90.01,90.01
Chayote,Chayote,H,38.32,19.74,28.02,41.9,19.6,30.3,3.6,9.8,2.3,16.4,2.8,0.3,2.3,2.3,2.3,1.29,3.6,2.3,2.3
Tomato,Tomato,H,68.11,30.83,28.01,67.4,28.7,30.6,5.0,8.97,2.6,18.6,4.77,9.97,2.6,2.6,2.6,4.0,2.6,2.6,2.6
Patola,Patola,H,31.72,22.0,26.23,30.7,20.8,30.7,9.51,2.43,4.5,32.1,7.52,8.0,4.49,4.49,4.49,9.0,4.52,4.5,4.5
Okra,Okra,M,91.2,20.7,28.95,81.2,49.5,62.4,7.1,28.8,33.4,238.6,4.18,7.56,33.4,33.4,33.4,8.0,33.4,33.4,33.4
Carrot,Carrot,M,76.56,29.06,31.85,79.9,58.2,76.2,3.3,29.1,44.4,317.1,5.06,9.0,44.39,44.39,44.39,10.0,44.42,44.4,44.4
Ampalaya,Ampalaya,L,38.85,20.54,27.42,89.1,81.0,58.1,50.2,60.5,30.7,432.1,2.22,9.0,60.49,60.49,60.49,3.0,60.52,60.5,60.5
Tomato,Tomato,H,81.01,30.21,24.76,69.0,30.0,30.1,7.72,6.49,5.3,37.9,8.68,5.3,5.31,5.31,5.31,6.0,5.31,5.31,5.31
Carrot,Carrot,H,68.91,31.71,34.43,73.4,29.4,28.9,4.5,7.45,7.4,8.26,9.8,8.51,9.0,9.0,4.0,4.51,4.51,8.0,9.0
Ampalaya,Ampalaya,M,39.48,20.2,30.41,49.5,47.7,46.0,10.0,27.5,15.6,196.4,6.2,1.55,27.5,27.5,27.5,9.0,27.5,27.5,27.5
Chayote,Chayote,L,32.13,20.4,29.12,61.0,77.0,59.7,28.9,56.6,30.6,404.3,5.65,7.26,56.6,56.6,56.6,4.0,56.6,56.6,56.6
Cabbage,Cabbage,H,147.83,25.16,22.59,120.9,19.2,29.4,9.44,8.38,6.8,48.6,6.5,8.74,6.8,6.8,6.8,2.0,6.8,6.8,6.8
Chayote,Chayote,H,46.87,17.15,35.24,41.4,20.1,31.1,6.09,3.0,9.02,21.4,9.43,6.62,3.0,3.0,3.0,1.0,3.0,3.0,3.0
Chayote,Chayote,L,40.23,20.53,36.62,57.2,78.6,61.9,17.0,58.1,25.3,415.0,7.49,2.3,58.1,58.1,58.1,5.0,58.1,58.1,58.1
Chayote,Chayote,H,38.47,19.74,30.63,38.0,20.6,28.6,6.64,0.9,6.56,6.4,2.05,6.87,0.9,0.9,0.9,8.0,0.9,0.9,0.9
Okra,Okra,M,77.22,20.7,33.64,82.4,48.7,59.0,5.2,28.0,25.4,200.0,9.7,1.65,28.0,28.0,28.0,4.0,28.0,28.0,28.0
Eggplant,Eggplant,M,75.87,18.16,31.83,79.4,51.7,57.4,3.5,33.5,25.6,239.3,1.46,6.29,33.5,33.5,33.5,7.0,33.5,33.5,33.5
Chili Pepper,Chili Pepper,H,29.87,25.43,62.35,30.7,30.8,59.2,0.8,5.4,3.22,38.6,6.08,7.21,5.4,5.4,5.4,3.0,5.4,5.4,5.4
Cabbage,Cabbage,H,128.1,30.59,18.08,117.8,19.4,31.3,5.23,5.47,13.2,94.3,4.23,4.38,13.2,13.2,13.2,9.0,13.2,13.2,13.2
Carrot,Carrot,L,72.72,32.63,28.3,89.9,88.8,125.1,17.2,56.2,96.8,691.4,6.13,9.6,96.8,96.8,96.8,10.0,96.8,96.8,96.8
Tomato,Tomato,L,63.3,30.17,29.87,93.7,115.3,90.7,30.4,85.1,60.8,607.9,6.81,6.42,85.11,85.11,85.11,1.0,85.11,85.11,85.11
Patola,Patola,H,28.8,18.25,27.45,31.4,20.2,29.7,2.6,1.9,2.2,15.7,0.9,7.59,2.2,2.2,2.2,0.41,2.61,2.2,2.2
Chayote,Chayote,L,38.64,18.57,29.93,62.4,77.2,60.8,23.8,58.6,30.9,418.6,4.18,1.45,58.6,58.6,58.6,1.0,58.6,58.6,58.6
Okra,Okra,H,84.71,17.37,29.14,77.3,20.2,29.8,9.17,2.8,0.7,20.0,1.09,8.47,2.8,2.8,2.8,4.0,2.8,2.8,2.8
Patola,Patola,M,26.9,21.04,32.24,62.0,48.9,43.5,35.1,27.9,11.3,199.3,15.7,4.83,27.9,27.9,27.9,7.22,35.12,27.9,27.9
Carrot,Carrot,M,65.0,28.02,31.47,80.5,60.2,72.3,15.5,32.2,40.8,291.4,8.98,9.32,40.8,40.8,40.8,5.0,40.8,40.8,40.8
String Bean,String Bean,H,34.93,22.18,29.11,33.9,20.1,29.7,3.86,7.32,0.6,4.3,8.85,5.15,0.6,0.6,0.6,1.0,0.6,0.6,0.6
Carrot,Carrot,M,68.23,26.04,30.87,82.0,58.8,74.4,13.8,32.8,43.5,310.7,6.14,5.99,43.5,43.5,43.5,4.0,43.5,43.5,43.5
Ampalaya,Ampalaya,H,36.07,16.93,29.25,40.0,20.1,30.7,3.9,3.2,1.4,22.9,1.5,1.15,3.21,3.21,3.21,0.69,3.9,3.21,3.21
Patola,Patola,H,28.71,20.4,28.23,28.9,19.9,29.4,0.2,7.97,1.2,8.6,8.76,4.14,1.2,1.2,1.2,8.0,1.2,1.2,1.2
Chayote,Chayote,L,39.19,22.71,22.99,58.6,79.5,61.6,19.4,56.8,38.6,405.7,5.65,1.23,56.8,56.8,56.8,7.0,56.8,56.8,56.8
Patola,Patola,H,25.68,21.52,34.34,30.9,19.7,29.2,5.2,8.21,4.98,7.21,11.3,4.46,7.0,2.0,7.0,5.2,5.2,6.0,6.0
Eggplant,Eggplant,L,71.61,16.46,32.48,85.7,78.9,89.4,14.1,62.4,56.9,445.7,3.3,5.89,62.4,62.4,62.4,4.0,62.4,62.4,62.4
Eggplant,Eggplant,M,67.42,18.21,33.96,79.1,50.4,57.2,11.7,32.2,23.2,230.0,7.21,5.12,32.2,32.2,32.2,3.0,32.2,32.2,32.2
Ampalaya,Ampalaya,M,42.16,15.85,29.62,49.4,47.6,43.5,7.2,31.8,13.9,227.1,2.09,3.0,31.79,31.79,31.79,9.0,31.82,31.8,31.8
Okra,Okra,M,71.46,19.26,24.8,77.9,49.6,62.6,6.4,30.3,37.8,270.0,9.05,7.84,37.8,37.8,37.8,6.0,37.8,37.8,37.8
Ampalaya,Ampalaya,H,41.39,18.66,31.64,38.3,19.5,30.1,4.51,0.8,9.67,5.7,6.61,5.72,0.8,0.8,0.8,3.0,0.8,0.8,0.8
Okra,Okra,L,67.61,18.41,24.93,93.1,81.1,94.1,25.5,62.7,69.2,494.3,2.87,7.94,69.2,69.2,69.2,9.0,69.2,69.2,69.2
Patola,Patola,H,32.9,21.54,31.27,28.7,20.4,30.0,3.66,4.05,7.63,3.86,4.46,2.37,1.0,7.0,8.0,2.0,1.0,2.0,5.0
Okra,Okra,H,73.88,19.92,23.61,80.7,19.6,29.9,6.8,8.57,6.3,45.0,1.1,5.11,6.3,6.3,6.3,0.51,6.81,6.3,6.3
Ampalaya,Ampalaya,M,40.69,23.01,33.21,48.5,49.3,43.1,7.8,26.3,9.9,187.9,6.92,8.73,26.31,26.31,26.31,9.0,26.31,26.31,26.31
Eggplant,Eggplant,H,66.97,20.11,29.98,69.9,19.4,29.5,2.9,1.51,9.66,8.71,6.3,2.92,1.0,9.0,3.0,2.9,2.9,9.0,8.0
Okra,Okra,L,89.71,17.5,25.63,91.5,80.7,85.6,1.8,63.2,60.0,451.4,6.67,1.95,63.2,63.2,63.2,4.0,63.2,63.2,63.2
String Bean,String Bean,L,32.73,19.34,26.64,47.8,92.6,49.7,15.1,73.3,23.1,523.6,5.81,9.35,73.3,73.3,73.3,6.0,73.3,73.3,73.3
Ampalaya,Ampalaya,L,46.68,21.87,28.63,87.5,80.6,58.6,40.8,58.7,30.0,419.3,5.81,8.42,58.7,58.7,58.7,2.0,58.7,58.7,58.7
Eggplant,Eggplant,M,62.71,22.56,34.19,81.4,51.3,62.5,18.7,28.7,28.3,205.0,1.12,3.65,28.7,28.7,28.7,10.0,28.7,28.7,28.7
String Bean,String Bean,M,35.38,19.62,32.38,39.0,46.9,40.4,3.6,27.3,8.0,195.0,1.89,3.96,27.3,27.3,27.3,9.0,27.3,27.3,27.3
Okra,Okra,H,85.37,21.89,27.52,81.1,19.5,29.6,2.8,3.34,2.1,15.0,5.61,6.98,2.1,2.1,2.1,5.0,2.1,2.1,2.1
Eggplant,Eggplant,L,89.5,18.62,27.28,93.7,78.4,86.3,4.2,59.8,59.0,427.1,2.75,9.0,59.79,59.79,59.79,2.0,59.82,59.8,59.8
Carrot,Carrot,M,59.79,27.1,26.83,81.0,60.3,73.7,21.2,33.2,46.9,335.0,2.05,2.82,46.9,46.9,46.9,7.0,46.9,46.9,46.9
Okra,Okra,H,68.85,20.27,31.92,77.8,20.5,30.9,9.0,0.2,2.62,1.4,19.1,0.3,0.2,0.2,0.2,8.79,9.0,0.2,0.2
Patola,Patola,M,27.83,21.33,27.92,57.7,51.8,42.9,29.9,30.5,15.0,217.9,4.37,8.47,30.51,30.51,30.51,8.0,30.51,30.51,30.51
Okra,Okra,M,78.93,18.63,29.36,82.5,49.5,61.8,3.6,30.9,32.4,231.4,5.98,8.27,32.4,32.4,32.4,7.0,32.4,32.4,32.4
String Bean,String Bean,L,35.49,22.92,29.98,47.6,94.0,52.2,12.1,71.1,22.2,507.9,9.1,5.43,71.11,71.11,71.11,8.0,71.11,71.11,71.11
Patola,Patola,H,33.16,23.29,28.4,31.4,19.6,29.9,4.14,8.25,1.5,10.7,8.11,7.28,1.5,1.5,1.5,3.0,1.5,1.5,1.5
Chili Pepper,Chili Pepper,M,30.6,34.44,61.73,61.9,48.3,123.7,31.3,13.9,62.0,442.9,1.2,7.16,62.01,62.01,62.01,7.0,62.01,62.01,62.01
Okra,Okra,H,77.76,21.19,34.51,82.8,20.1,29.9,5.0,8.11,2.49,8.03,10.9,4.95,3.0,4.0,9.0,5.01,5.01,4.0,6.0
